timestamp,measurement,total,used,free
1744543980,disk,30084825088,2663399424,
1744543980,mem,446169088,883712000,265617408
1744543990,mem,446578688,883712000,265203712
1744543990,disk,30084825088,2663403520,
1744543990,cpu,98.19458375118072,0.10030090270816011,0.2006018054157501
1744544000,cpu,99.69909729188734,0.2006018054160429,0.10030090270802144
1744544000,disk,30084825088,2663403520,
1744544000,mem,446689280,883712000,265097216
1744544010,cpu,99.79979979975911,0.10010010010024106,0.10010010010052557
1744544010,disk,30084825088,2663403520,
1744544010,mem,446689280,883712000,265097216
1744544020,cpu,99.39939939942215,0.10010010010010238,0.20020020020020476
1744544020,disk,30084825088,2663407616,
1744544020,mem,446701568,883712000,265084928
1744544030,mem,446701568,883712000,265089024
1744544030,disk,30084825088,2663407616,
1744544030,cpu,99.7993981945429,0.10030090270802144,0.10030090270802144
1744544040,disk,30084825088,2663407616,
1744544040,cpu,99.59959959966332,0.10010010010038688,0.30030030030030713
1744544040,mem,446701568,883712000,265089024
1744544050,cpu,92.88577154302948,1.002004008014923,3.5070140280526583
1744544050,disk,30084825088,2663407616,
1744544050,mem,425848832,883712000,285929472
1744544060,disk,30084825088,2663407616,
1744544060,mem,425848832,883712000,285929472
1744544060,cpu,99.49949949961557,0.20020020020020476,0.20020020020020476
1744544070,disk,30084825088,2663407616,
1744544070,mem,425848832,883712000,285929472
1744544070,cpu,99.79959919835618,0.10020040080169167,0.10020040080197645
1744544080,disk,30084825088,2663407616,
1744544080,mem,425857024,883712000,285917184
1744544080,cpu,99.39879759521347,0.10020040080155299,0
